Tube,Line,rep_num,CollectionDate,FlowerPos,LongStamenNum,ShortStamenNum,IsSideFlower,collection
60,SALK_089563,11,1/17/22,18,4,2,0,
60,SALK_089563,11,1/17/22,19,4,2,0,
61,SALK_055242,2,1/17/22,22,4,2,0,
61,SALK_055242,2,1/17/22,23,4,2,0,
61,SALK_055242,2,1/17/22,24,4,2,0,
62,Col,3,1/17/22,22,4,2,0,
62,Col,3,1/17/22,23,4,2,0,
62,Col,3,1/17/22,24,4,2,0,
63,Col,6,1/17/22,21,4,2,0,
63,Col,6,1/17/22,22,4,2,0,
63,Col,6,1/17/22,23,4,2,0,
64,Col,14,1/17/22,16,4,2,0,
64,Col,14,1/17/22,17,4,2,0,
64,Col,14,1/17/22,18,4,2,0,
65,Col,18,1/17/22,11,4,2,0,
65,Col,18,1/17/22,12,4,2,0,
65,Col,18,1/17/22,5,4,2,1,
66,SALK_055242,3,1/17/22,18,4,2,0,
66,SALK_055242,3,1/17/22,19,4,2,0,
66,SALK_055242,3,1/17/22,20,4,2,0,
67,SALK_055242,6,1/17/22,18,4,2,0,
67,SALK_055242,6,1/17/22,19,4,2,0,
67,SALK_055242,6,1/17/22,20,4,2,0,
68,Col,7,1/17/22,17,4,2,0,
68,Col,7,1/17/22,18,4,2,0,
68,Col,7,1/17/22,19,4,2,0,
69,SALK_065777,6,1/17/22,21,4,1,0,
69,SALK_065777,6,1/17/22,22,4,1,0,
69,SALK_065777,6,1/17/22,23,4,2,0,
70,SALK_065777,10,1/17/22,10,4,2,0,
70,SALK_065777,10,1/17/22,11,4,2,0,
70,SALK_065777,10,1/17/22,12,4,2,0,
71,Col,15,1/17/22,22,4,2,0,
71,Col,15,1/17/22,23,4,2,0,
71,Col,15,1/17/22,24,4,2,0,
72,Col,19,1/17/22,16,4,2,0,
72,Col,19,1/17/22,17,4,2,0,
72,Col,19,1/17/22,18,4,2,0,
73,SALK_012835,2,1/19/22,19,4,2,0,
73,SALK_012835,2,1/19/22,7,4,2,1,
73,SALK_012835,2,1/19/22,8,4,2,1,
74,Col,9,1/19/22,23,4,2,0,
74,Col,9,1/19/22,24,4,2,0,
74,Col,9,1/19/22,25,4,2,0,
75,Col,12,1/19/22,25,4,2,0,
75,Col,12,1/19/22,26,4,2,0,
75,Col,12,1/19/22,27,4,2,0,
76,SALK_028815,4,1/19/22,17,4,2,0,
76,SALK_028815,4,1/19/22,18,4,2,0,
76,SALK_028815,4,1/19/22,19,4,2,0,
77,SALK_028815,11,1/19/22,28,4,2,0,
77,SALK_028815,11,1/19/22,29,4,2,0,
77,SALK_028815,11,1/19/22,30,4,2,0,
78,Col,17,1/19/22,25,4,2,0,
78,Col,17,1/19/22,26,4,2,0,
78,Col,17,1/19/22,27,4,2,0,
79,SALK_055242,2,1/19/22,27,4,2,0,
79,SALK_055242,2,1/19/22,28,4,2,0,
