"id","mean_stamen_number","norm_mean_ss","IT_meandaystoflr","SW_meandaystoflr","ril_ovule_num"
481,5.722222222,-0.391309603980077,116.666666666667,NA,32
483,NA,NA,NA,NA,32
484,5.319444444,-1.21220602430492,118.833333333333,NA,47
485,5.888888889,0.268838519478982,123.166666666667,135.166666666667,24
486,6,1.13988249188633,121.833333333333,NA,32
488,NA,NA,NA,NA,NA
489,4.833333333,-2.02967869368633,110.333333333333,125.333333333333,48
490,5.666666667,-0.514451420884401,115.5,124,46
491,NA,NA,NA,NA,30
492,5.416666667,-1.00272763420404,118.666666666667,132.666666666667,47
494,5.916666667,0.396528975997477,121.333333333333,132.25,46
495,5.722222222,-0.391309603980077,118.666666666667,130.8,35
496,5.733333333,-0.326907355493239,121.8,131.166666666667,35
498,NA,NA,NA,NA,31
499,4.944444444,-1.75652929867609,111.833333333333,125.6,45.666667
501,NA,NA,NA,NA,NA
502,NA,NA,NA,NA,30
503,5.722222222,-0.391309603980077,117.166666666667,131.5,34
504,5.791666667,-0.17475560144772,118,126.875,27
505,NA,NA,NA,NA,36
506,5.833333333,-0.00482974570280406,119.666666666667,NA,25
507,5.722222222,-0.391309603980077,114.5,124.285714285714,40
508,5.866666667,0.145402534633602,119.333333333333,131,23
509,NA,NA,NA,NA,NA
510,5.4,-1.03933007461747,116.166666666667,126.5,24
511,NA,NA,NA,NA,40
512,5.722222222,-0.391309603980077,122.2,129.666666666667,26.5
513,6,1.13988249188633,120,128.25,42
514,5.666666667,-0.514451420884401,112,129,35.5
515,5.866666667,0.145402534633602,120.333333333333,129,32
516,6,1.13988249188633,119.5,130,29
518,NA,NA,NA,126.5,NA
519,5.777777778,-0.224027338422406,118.833333333333,129.6,34
520,5.833333333,-0.00482974570280406,124.666666666667,NA,33
521,4.777777778,-2.21188008223255,115.5,NA,31
522,6,1.13988249188633,121.25,NA,30
523,NA,NA,NA,NA,24
524,5.933333333,0.500716969809112,113.333333333333,127.5,43
525,6,1.13988249188633,120.166666666667,131.5,NA
526,NA,NA,NA,NA,NA
527,6,1.13988249188633,116.166666666667,130,35
528,5.571428571,-0.70667448980832,117,132.714285714286,35
529,5.666666667,-0.514451420884401,118.166666666667,132.666666666667,31
530,6,1.13988249188633,117.166666666667,129.428571428571,41
531,5.583333333,-0.694328989029049,121,138,23
532,6,1.13988249188633,120.333333333333,135,35
533,6,1.13988249188633,123.5,NA,25
534,5.166666667,-1.43174853898677,117.333333333333,NA,29
535,5.333333333,-1.14918017086526,120,NA,26
536,5.333333333,-1.14918017086526,116.166666666667,126.666666666667,37
539,5.916666667,0.396528975997477,120.5,NA,25
540,6,1.13988249188633,117,NA,39
541,6,1.13988249188633,120,131.375,27.5
542,5.466666667,-0.896581644050448,114.833333333333,NA,34
543,5.145833333,-1.47335585903653,119.333333333333,NA,33
544,5.111111111,-1.53314209507921,110.833333333333,125.5,38
545,4.8,-2.13506992722039,114.666666666667,127.4,37.2
546,NA,NA,NA,128.8,NA
547,5.666666667,-0.514451420884401,120.2,NA,48
548,5.75,-0.283891858027877,119.666666666667,128,32
549,NA,NA,NA,NA,NA
550,6,1.13988249188633,122.2,NA,40
552,5.666666667,-0.514451420884401,118.666666666667,NA,30
553,5.833333333,-0.00482974570280406,119.4,NA,30
554,5.944444444,0.59905988959618,114.5,126.6,43
555,6,1.13988249188633,121.333333333333,NA,25
556,NA,NA,NA,NA,34
557,5.555555556,-0.741196704774636,113.833333333333,127.5,31
558,5.777777778,-0.224027338422406,123,NA,31
559,5.944444444,0.59905988959618,118,NA,30
560,6,1.13988249188633,121.666666666667,133.666666666667,22
561,NA,NA,121.666666666667,NA,NA
562,5.6,-0.660909239720822,118.833333333333,131,36
563,6,1.13988249188633,120.333333333333,NA,31
564,5.5,-0.843687721392016,118.166666666667,NA,45
565,6,1.13988249188633,115.833333333333,131,43
567,5.583333333,-0.694328989029049,120.666666666667,132.666666666667,41
569,5.8,-0.130774422330991,118.833333333333,131.666666666667,37
571,6,1.13988249188633,116,NA,40.333333
572,5.75,-0.283891858027877,117.5,132.333333333333,25
573,5.833333333,-0.00482974570280406,117.6,135.25,30
574,5.888888889,0.268838519478982,122,NA,28
575,5.533333333,-0.78975228996653,120.166666666667,138.75,41
576,5.333333333,-1.14918017086526,108.333333333333,NA,38
577,NA,NA,NA,NA,32
578,5.916666667,0.396528975997477,119.833333333333,136,19
579,NA,NA,NA,NA,NA
581,5.666666667,-0.514451420884401,114.833333333333,126.6,43
582,5.444444444,-0.940773762562063,113.833333333333,125.333333333333,32
583,4.916666667,-1.84175771835062,113.6,126,41.5
585,6,1.13988249188633,120.5,130.166666666667,26
586,6,1.13988249188633,123.333333333333,NA,31.5
587,5.777777778,-0.224027338422406,113.166666666667,132.333333333333,44
588,NA,NA,122.8,138.333333333333,35
590,5.611111111,-0.61357072056104,110.666666666667,125.2,44
591,6,1.13988249188633,116.5,128.25,39
592,NA,NA,NA,NA,26
593,6,1.13988249188633,120.8,NA,38
594,5.611111111,-0.61357072056104,118.166666666667,NA,33
595,5.583333333,-0.694328989029049,119.666666666667,131,42
596,5.777777778,-0.224027338422406,121.5,NA,32
597,6,1.13988249188633,122,141.666666666667,28
600,5.666666667,-0.514451420884401,124,NA,28
601,5.888888889,0.268838519478982,116.666666666667,NA,31
602,5.566666667,-0.712887747493508,117.8,130.2,43
603,5.916666667,0.396528975997477,120,NA,35
604,6,1.13988249188633,119.5,NA,31
605,6,1.13988249188633,121,NA,32
606,5.916666667,0.396528975997477,119.166666666667,134.833333333333,34
607,4.6,-2.58869953739053,115.666666666667,127,36.5
608,5.333333333,-1.14918017086526,118.333333333333,136.285714285714,31
609,5.866666667,0.145402534633602,118.166666666667,NA,36
610,5.666666667,-0.514451420884401,116.666666666667,133.333333333333,27
611,5.833333333,-0.00482974570280406,122.166666666667,NA,34
612,6,1.13988249188633,118.5,132.833333333333,29
613,NA,NA,NA,NA,NA
614,5.833333333,-0.00482974570280406,124.166666666667,NA,41
616,5.6,-0.660909239720822,120.833333333333,NA,26
617,5.916666667,0.396528975997477,119.333333333333,132.333333333333,26
618,5.8,-0.130774422330991,119.833333333333,132.5,39
619,5.888888889,0.268838519478982,108.166666666667,125.125,35
620,5.277777778,-1.25882794167362,109.666666666667,126.5,36
621,NA,NA,NA,NA,NA
623,6,1.13988249188633,119.5,NA,40
624,5.777777778,-0.224027338422406,116.5,NA,37
625,5.833333333,-0.00482974570280406,110.833333333333,126,31
627,5.866666667,0.145402534633602,118.166666666667,133,38
628,5.833333333,-0.00482974570280406,116.5,128.666666666667,31
629,6,1.13988249188633,121.166666666667,NA,34
631,5.888888889,0.268838519478982,117.5,133.5,35
632,5.916666667,0.396528975997477,121.666666666667,NA,31
633,6,1.13988249188633,124.666666666667,135,36
634,NA,NA,NA,NA,43
635,5.8,-0.130774422330991,120.833333333333,135.333333333333,28
638,5.888888889,0.268838519478982,118.5,126.75,36
640,6,1.13988249188633,121.833333333333,142.666666666667,34
641,5.944444444,0.59905988959618,120.333333333333,NA,43
642,5.388888889,-1.0730760534506,114.166666666667,NA,40
643,5.666666667,-0.514451420884401,122.2,NA,27
644,6,1.13988249188633,115.6,128.571428571429,39
645,5.5,-0.843687721392016,118.666666666667,131.333333333333,38
646,6,1.13988249188633,118.166666666667,129.333333333333,48
647,5.733333333,-0.326907355493239,120,132,37
648,6,1.13988249188633,120.833333333333,NA,36
649,5.4,-1.03933007461747,121.833333333333,130.333333333333,33
650,4.666666667,-2.37939589592461,121.2,127.666666666667,31.5
651,NA,NA,NA,125.5,NA
652,NA,NA,NA,NA,34
653,5.714285714,-0.4333784077062,118,NA,13
654,5.833333333,-0.00482974570280406,120.4,NA,32
655,5.533333333,-0.78975228996653,117.166666666667,131.2,31
656,6,1.13988249188633,120.6,NA,32
657,5.777777778,-0.224027338422406,121,129.2,19
658,5.933333333,0.500716969809112,118.5,130.75,29
659,5.25,-1.31406401444924,119.5,NA,27
660,6,1.13988249188633,117.333333333333,133.571428571429,26
661,5.916666667,0.396528975997477,116.5,131.833333333333,37
662,NA,NA,NA,NA,NA
663,5.888888889,0.268838519478982,119.333333333333,125.375,48
664,5.933333333,0.500716969809112,118.833333333333,NA,47
666,5.388888889,-1.0730760534506,116.833333333333,126,39
667,5.6,-0.660909239720822,118.166666666667,134,45
670,6,1.13988249188633,124.333333333333,NA,31
671,NA,NA,NA,NA,33
672,6,1.13988249188633,120.5,NA,34
673,5.888888889,0.268838519478982,119.333333333333,132,44
676,6,1.13988249188633,120.5,141,35
677,5.888888889,0.268838519478982,119.333333333333,133.25,40
678,NA,NA,NA,NA,26
679,NA,NA,NA,NA,27
680,5.111111111,-1.53314209507921,111.333333333333,NA,49
681,6,1.13988249188633,121.333333333333,NA,25
683,6,1.13988249188633,120.833333333333,NA,35.333333
684,6,1.13988249188633,118.5,135.25,53
686,NA,NA,NA,NA,29
687,5.933333333,0.500716969809112,123.333333333333,NA,43
688,5.833333333,-0.00482974570280406,119.833333333333,NA,32
689,5.722222222,-0.391309603980077,118.5,NA,42
691,5.833333333,-0.00482974570280406,119.166666666667,NA,46
694,5.888888889,0.268838519478982,122.5,NA,48
695,5.833333333,-0.00482974570280406,121.333333333333,140.6,34
696,5.666666667,-0.514451420884401,121.666666666667,NA,39
697,5.888888889,0.268838519478982,119.5,145.666666666667,34
698,5.888888889,0.268838519478982,117.5,NA,42
699,NA,NA,NA,NA,32
700,5.866666667,0.145402534633602,114.166666666667,127.75,34
