QN_no6s_stamen_number,QN_mean_stamen_number,no6s_stamen_number,mean_stamen_number,id,QTL1,QTL3,QTL4,QTL5
-0.501556704,-0.739480322,5.555555556,5.555555556,175,a,b,a,a
-0.618747862,-0.841621234,5.5,5.5,176,b,a,b,b
-1.264123879,-1.426076872,5.166666667,5.166666667,177,a,a,b,b
-0.557304228,-0.787876017,5.533333333,5.533333333,178,a,a,a,a
1.450542787,0.49966967,5.933333333,5.933333333,179,b,b,a,b
-0.501556704,-0.739480322,5.555555556,5.555555556,180,b,b,a,a
-1.47886927,-1.626486731,5.055555556,5.055555556,181,a,a,a,a
,1.136447727,,6,182,b,b,,b
-2.22961225,-2.341027138,4.666666667,4.666666667,184,a,a,b,a
-0.618747862,-0.841621234,5.5,5.5,185,b,a,b,b
,1.136447727,,6,186,a,a,a,b
-0.728193988,-0.938325959,5.444444444,5.444444444,187,b,b,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,188,b,b,,b
1.905608404,0.597760126,5.944444444,5.944444444,189,a,b,a,b
,1.136447727,,6,190,a,a,a,b
,1.136447727,,6,191,b,b,b,b
-0.408386844,-0.659436695,5.6,5.6,192,a,b,b,b
1.905608404,0.597760126,5.944444444,5.944444444,194,b,a,a,b
0.254681544,-0.130521499,5.8,5.8,195,b,a,a,b
2.797207657,0.656444041,5.96,5.96,196,a,b,b,b
-2.067789794,-2.18558264,4.777777778,4.777777778,197,a,a,a,a
,1.136447727,,6,198,b,b,a,b
,1.136447727,,6,199,,a,a,b
0.572460101,0.086877064,5.854166667,5.854166667,200,a,b,a,b
0.666401288,0.145120941,5.866666667,5.866666667,201,a,a,b,b
,1.136447727,,6,202,a,a,a,b
,,,,203.6,,,,
-0.797332876,-1.000005818,5.416666667,5.416666667,205,a,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,206,b,b,b,b
,1.136447727,,6,207,b,b,a,a
,1.136447727,,6,208,a,a,b,b
,1.136447727,,6,209,b,b,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,210,b,b,a,a
0.433091285,-0.004820458,5.833333333,5.833333333,212,a,b,a,b
-1.47886927,-1.626486731,5.055555556,5.055555556,213,a,a,a,a
,,,,214.6,,,,
,1.136447727,,6,216,a,b,a,b
-0.501556704,-0.739480322,5.555555556,5.555555556,218,a,a,a,b
,1.136447727,,6,219,a,a,b,b
-1.560860364,-1.703569527,5,5,220,a,a,a,a
,,,,222,b,a,b,b
0.884755232,0.268308923,5.888888889,5.888888889,223,b,a,b,b
-0.084083943,-0.390517596,5.722222222,5.722222222,224,a,b,b,a
-0.234711077,-0.513370313,5.666666667,5.666666667,225,a,b,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,226,a,a,b,b
,1.136447727,,6,227,b,a,b,b
-0.084083943,-0.390517596,5.722222222,5.722222222,228,b,a,a,a
-0.501556704,-0.739480322,5.555555556,5.555555556,229,a,b,b,b
,1.136447727,,6,230,b,b,b,a
